<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURRUB,D,19/09/17,000000,69.3515000,69.9290000,69.3390000,69.6268000,121165
EURRUB,D,20/09/17,000000,69.6960000,69.8520000,68.9652000,69.1230000,109161
EURRUB,D,21/09/17,000000,69.2880000,69.3780000,68.8330000,69.1210000,120141
EURRUB,D,22/09/17,000000,69.2050000,69.3250000,68.1202000,68.6770000,110666
EURRUB,D,23/09/17,000000,68.7470000,68.7640000,68.5240000,68.7640000,7
EURRUB,D,24/09/17,000000,68.6310000,68.8000000,68.3120000,68.3210000,232
EURRUB,D,25/09/17,000000,68.3260000,68.8440000,67.9181000,68.1211000,123591
EURRUB,D,26/09/17,000000,68.1560000,68.4760000,67.7715000,68.1660000,133783
EURRUB,D,27/09/17,000000,68.2590000,68.5310000,67.9010000,68.2707000,124212
EURRUB,D,28/09/17,000000,68.3440000,68.7270000,68.1264000,68.1740000,127182
EURRUB,D,29/09/17,000000,68.2740000,68.5020000,67.8250000,67.9566000,129079
EURRUB,D,30/09/17,000000,67.9560000,68.1086000,67.8980000,67.9880000,10
EURRUB,D,01/10/17,000000,67.9380000,68.0230000,67.7050000,67.8052000,257
EURRUB,D,02/10/17,000000,67.7830000,68.1000000,67.0260000,67.7454000,111565
EURRUB,D,03/10/17,000000,67.8650000,68.2970000,67.6360000,67.9560000,14975
EURRUB,D,04/10/17,000000,67.9702000,68.2680000,67.5902000,67.7555000,73962
EURRUB,D,05/10/17,000000,67.8240000,67.8780000,67.1890000,67.5770000,77965
EURRUB,D,06/10/17,000000,67.5910000,68.3280000,67.4000000,68.1284000,63227
EURRUB,D,07/10/17,000000,68.1730000,68.2062000,68.1380000,68.1560000,8
EURRUB,D,08/10/17,000000,68.2570000,68.2570000,67.9608000,67.9617000,146
EURRUB,D,09/10/17,000000,68.1610000,68.6390000,67.9810000,68.3750000,83148
EURRUB,D,10/10/17,000000,68.2450000,68.6310000,68.0280000,68.3491000,63473
EURRUB,D,11/10/17,000000,68.4800000,68.6800000,68.1773000,68.4640000,83141
EURRUB,D,12/10/17,000000,68.5170000,68.6590000,68.1370000,68.2395000,109186
EURRUB,D,13/10/17,000000,68.2490000,68.4412000,67.4600000,67.6568000,95962
EURRUB,D,14/10/17,000000,67.7600000,67.7600000,67.6020000,67.6020000,7
EURRUB,D,15/10/17,000000,67.5360000,67.6260000,67.4500000,67.5483000,93
EURRUB,D,16/10/17,000000,67.5488000,67.7440000,67.1123000,67.4454000,90860
EURRUB,D,17/10/17,000000,67.4790000,67.6300000,67.2420000,67.3942000,91911
EURRUB,D,18/10/17,000000,67.3960000,67.7880000,66.7870000,67.6960000,95395
EURRUB,D,19/10/17,000000,67.7180000,68.2060000,67.5510000,67.8430000,110052
EURRUB,D,20/10/17,000000,67.7576000,68.0260000,67.4729000,67.7050000,112099
EURRUB,D,21/10/17,000000,67.7490000,67.7550000,67.5508000,67.7550000,8
EURRUB,D,22/10/17,000000,67.5820000,67.7620000,67.5020000,67.5360000,235
EURRUB,D,23/10/17,000000,67.6160000,67.7600000,67.3437000,67.4728000,94756
EURRUB,D,24/10/17,000000,67.5630000,67.8910000,67.4175000,67.7497000,101451
EURRUB,D,25/10/17,000000,67.7930000,68.2550000,67.5610000,68.1960000,122674
EURRUB,D,26/10/17,000000,68.2160000,68.3980000,67.2530000,67.2860000,122903
EURRUB,D,27/10/17,000000,67.3860000,68.1470000,67.1000000,67.3597000,131415
EURRUB,D,28/10/17,000000,67.4150000,67.4287000,67.3560000,67.4090000,9
EURRUB,D,29/10/17,000000,67.3810000,67.9213000,67.3140000,67.6668000,282
EURRUB,D,30/10/17,000000,67.5830000,67.6767000,66.9671000,67.5110000,94067
EURRUB,D,31/10/17,000000,67.5420000,68.2040000,67.3180000,67.8347000,112228
EURRUB,D,01/11/17,000000,67.9350000,67.9790000,67.1970000,67.6204000,107154
EURRUB,D,02/11/17,000000,67.6260000,68.1570000,67.2024000,67.7509000,98864
EURRUB,D,03/11/17,000000,67.8460000,68.8440000,67.6970000,67.9885000,112214
EURRUB,D,04/11/17,000000,68.5380000,68.5590000,67.7880000,68.5590000,10
EURRUB,D,05/11/17,000000,68.4670000,68.6380000,68.4240000,68.4379000,113
EURRUB,D,06/11/17,000000,68.5140000,68.6450000,67.5350000,67.6010000,93593
EURRUB,D,07/11/17,000000,67.6010000,68.8000000,67.5042000,68.7520000,146916
EURRUB,D,08/11/17,000000,68.7520000,69.1030000,68.3988000,68.6560000,121747
EURRUB,D,09/11/17,000000,68.6840000,69.1920000,68.5150000,68.9910000,131756
EURRUB,D,10/11/17,000000,68.9910000,69.3150000,68.7397000,69.0190000,116820
EURRUB,D,11/11/17,000000,69.0360000,69.0780000,68.7866000,68.9940000,1470
EURRUB,D,12/11/17,000000,68.9600000,69.0150000,68.8980000,68.9472000,79
EURRUB,D,13/11/17,000000,68.9460000,69.4650000,68.7415000,69.2650000,103252
EURRUB,D,14/11/17,000000,69.2650000,71.0290000,69.1590000,71.0010000,121443
EURRUB,D,15/11/17,000000,71.0010000,71.5670000,70.7840000,70.9710000,130132
EURRUB,D,16/11/17,000000,70.9710000,71.0270000,70.0330000,70.1990000,119018
EURRUB,D,17/11/17,000000,70.1990000,70.5020000,69.5280000,69.6020000,111863
EURRUB,D,18/11/17,000000,69.6300000,69.6550000,69.4210000,69.5830000,1646
