<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDRUB,D,14/10/17,000000,57.3260000,57.3260000,57.1900000,57.2029000,29
USDRUB,D,15/10/17,000000,57.1900000,57.2490000,57.1425000,57.2490000,99
USDRUB,D,16/10/17,000000,57.2022000,57.3816000,56.9384000,57.1972000,191585
USDRUB,D,17/10/17,000000,57.2426000,57.5442000,57.0975000,57.2723000,208986
USDRUB,D,18/10/17,000000,57.2658000,57.5021000,56.8499000,57.4390000,211037
USDRUB,D,19/10/17,000000,57.4430000,57.7345000,57.2350000,57.2540000,214315
USDRUB,D,20/10/17,000000,57.2729000,57.6376000,57.2258000,57.4535000,192475
USDRUB,D,21/10/17,000000,57.4808000,57.4937000,57.3886000,57.4786000,29
USDRUB,D,22/10/17,000000,57.4980000,57.6070000,57.4220000,57.4885000,102
USDRUB,D,23/10/17,000000,57.4796000,57.6084000,57.3267000,57.4910000,171034
USDRUB,D,24/10/17,000000,57.5222000,57.7118000,57.3278000,57.6258000,188088
USDRUB,D,25/10/17,000000,57.6418000,57.8162000,57.4721000,57.7335000,217812
USDRUB,D,26/10/17,000000,57.7335000,57.8936000,57.4261000,57.8420000,210274
USDRUB,D,27/10/17,000000,57.8445000,58.7652000,57.7077000,58.0325000,262342
USDRUB,D,28/10/17,000000,58.0698000,58.1538000,58.0605000,58.0885000,29
USDRUB,D,29/10/17,000000,58.0720000,58.5475000,58.0720000,58.2150000,77
USDRUB,D,30/10/17,000000,58.2250000,58.3619000,57.6054000,57.9730000,206451
USDRUB,D,31/10/17,000000,57.9825000,58.6079000,57.8894000,58.3234000,238439
USDRUB,D,01/11/17,000000,58.3240000,58.4080000,57.8673000,58.1906000,239696
USDRUB,D,02/11/17,000000,58.1934000,58.4468000,57.8260000,58.1629000,215825
USDRUB,D,03/11/17,000000,58.2018000,59.2795000,58.0410000,59.0470000,261372
USDRUB,D,04/11/17,000000,59.0548000,59.0700000,58.6376000,59.0446000,29
USDRUB,D,05/11/17,000000,59.0700000,59.1950000,58.9050000,58.9873000,91
USDRUB,D,06/11/17,000000,58.9936000,59.1656000,58.2013000,58.2520000,75145
USDRUB,D,07/11/17,000000,58.2394000,59.4430000,58.1950000,59.3251000,248112
USDRUB,D,08/11/17,000000,59.3244000,59.5831000,59.0191000,59.2199000,265441
USDRUB,D,09/11/17,000000,59.2316000,59.5550000,59.0558000,59.2704000,246769
USDRUB,D,10/11/17,000000,59.2804000,59.5623000,58.9257000,59.1880000,191415
USDRUB,D,11/11/17,000000,59.1735000,59.2120000,59.0421000,59.1818000,971
USDRUB,D,12/11/17,000000,59.2020000,59.2296000,59.1732000,59.2296000,74
USDRUB,D,13/11/17,000000,59.2054000,59.6009000,59.0203000,59.3725000,211384
USDRUB,D,14/11/17,000000,59.3873000,60.2474000,59.2420000,60.2208000,233662
USDRUB,D,15/11/17,000000,60.2177000,60.5157000,59.9718000,60.1979000,244985
USDRUB,D,16/11/17,000000,60.2024000,60.2494000,59.5211000,59.6676000,224060
USDRUB,D,17/11/17,000000,59.6676000,59.7560000,58.9447000,59.0220000,244634
USDRUB,D,18/11/17,000000,59.0804000,59.0970000,58.9174000,59.0551000,722
USDRUB,D,19/11/17,000000,59.1010000,59.3321000,58.9960000,58.9965000,62
USDRUB,D,20/11/17,000000,59.0565000,59.5819000,58.9465000,59.3453000,237538
USDRUB,D,21/11/17,000000,59.3617000,59.5412000,59.0383000,59.1856000,228017
USDRUB,D,22/11/17,000000,59.1778000,59.1911000,58.3753000,58.4380000,214910
USDRUB,D,23/11/17,000000,58.4480000,58.5339000,58.2697000,58.4611000,154797
USDRUB,D,24/11/17,000000,58.4736000,58.7720000,58.1975000,58.3737000,192720
USDRUB,D,25/11/17,000000,58.3672000,58.5712000,58.3500000,58.3536000,446
USDRUB,D,26/11/17,000000,58.3870000,58.4200000,58.3113000,58.3901000,76
USDRUB,D,27/11/17,000000,58.4200000,58.5086000,57.9919000,58.4757000,204968
USDRUB,D,28/11/17,000000,58.4865000,58.5643000,58.1647000,58.3790000,199699
USDRUB,D,29/11/17,000000,58.3630000,58.7680000,58.1980000,58.6708000,214092
USDRUB,D,30/11/17,000000,58.6680000,58.7413000,58.3020000,58.4503000,240905
USDRUB,D,01/12/17,000000,58.4562000,59.1554000,58.3740000,58.8798000,235742
USDRUB,D,02/12/17,000000,58.8798000,59.1049000,58.6147000,58.8814000,990
USDRUB,D,03/12/17,000000,58.8880000,58.9994000,58.8250000,58.9827000,75
USDRUB,D,04/12/17,000000,58.8757000,59.1174000,58.5750000,58.8250000,232680
USDRUB,D,05/12/17,000000,58.8459000,58.8625000,58.4265000,58.7290000,203309
USDRUB,D,06/12/17,000000,58.7225000,59.2488000,58.6288000,59.2149000,219006
USDRUB,D,07/12/17,000000,59.2272000,59.3809000,59.0215000,59.1548000,202996
USDRUB,D,08/12/17,000000,59.1615000,59.3909000,58.9897000,59.1184000,171557
USDRUB,D,09/12/17,000000,59.0816000,59.1770000,59.0069000,59.1519000,456
USDRUB,D,10/12/17,000000,59.2528000,59.2700000,59.0900000,59.1606000,38
USDRUB,D,11/12/17,000000,59.1606000,59.3217000,58.7850000,58.9340000,175834
USDRUB,D,12/12/17,000000,58.9425000,59.2931000,58.7292000,59.2106000,190712
USDRUB,D,13/12/17,000000,59.2206000,59.2850000,58.5086000,58.6000000,217493
USDRUB,D,14/12/17,000000,58.5805000,59.0950000,58.4150000,58.8521000,204877
USDRUB,D,15/12/17,000000,58.9142000,59.0467000,58.6740000,58.8340000,207445
USDRUB,D,16/12/17,000000,58.8230000,58.8590000,58.7190000,58.8209000,296
USDRUB,D,17/12/17,000000,58.8590000,59.0200000,58.7400000,58.8052000,45
USDRUB,D,18/12/17,000000,58.8590000,59.0508000,58.5095000,58.6636000,139540
USDRUB,D,19/12/17,000000,58.6773000,58.8665000,58.4921000,58.7692000,160319
USDRUB,D,20/12/17,000000,58.7475000,58.8167000,58.5386000,58.6826000,168360
USDRUB,D,21/12/17,000000,58.6820000,58.7572000,58.3694000,58.4464000,163763
USDRUB,D,22/12/17,000000,58.4339000,58.6345000,58.1409000,58.3197000,134473
USDRUB,D,23/12/17,000000,58.3316000,58.3569000,58.1638000,58.3383000,157
USDRUB,D,24/12/17,000000,58.3502000,58.3596000,58.2500000,58.3228000,38
USDRUB,D,25/12/17,000000,58.3228000,58.3950000,57.7880000,57.9773000,6186
